Token,IDF,DF
tabl,2.7116603133011816,18454.0
make,2.737570204894965,17982.0
sauc,2.7613178742505755,17560.0
dish,2.8247939379762204,16480.0
tast,2.829477217527197,16403.0
menu,2.8641505826978757,15844.0
amaz,2.8681347776915507,15781.0
peopl,2.88661770080504,15492.0
thing,2.8934184653823047,15387.0
pretti,2.9231001061293904,14937.0
seat,2.9310313212495043,14819.0
night,2.9354272299954354,14754.0
nice,2.9502443390133584,14537.0
drink,2.980553921747443,14103.0
chees,2.9826123389131887,14074.0
worth,3.036474317009053,13336.0
meal,3.056698448842647,13069.0
flavor,3.072197853080766,12868.0
bar,3.0766372855832493,12811.0
perfect,3.0852607319353638,12701.0
recommend,3.113690339660403,12345.0
price,3.1143385853682184,12337.0
experi,3.1518326551496565,11883.0
chicken,3.1535171497785797,11863.0
dinner,3.163003119105742,11751.0
bit,3.1694060094656775,11676.0
star,3.1812955266228484,11538.0
made,3.1858996263164845,11485.0
long,3.188427852239256,11456.0
enjoy,3.2401071370186005,10879.0
side,3.2498984585454904,10773.0
pizza,3.250362689555174,10768.0
top,3.254457242083833,10724.0
favorit,3.2561371304863562,10706.0
small,3.263073141046602,10632.0
serv,3.289085755381581,10359.0
hour,3.290728188483516,10342.0
lot,3.3013236703529274,10233.0
review,3.3035738302809716,10210.0
day,3.308581450348138,10159.0
minut,3.3098619233130475,10146.0
beer,3.3298715501516107,9945.0
ll,3.3354173168229253,9890.0
line,3.3540941877274566,9707.0
fresh,3.395530188918025,9313.0
expect,3.4041574396670553,9233.0
chicago,3.4061088713357592,9215.0
big,3.4188868533097336,9098.0
ca,3.4323871136772057,8976.0
feel,3.4534405228750376,8789.0
