Token,IDF,DF
NUMfood,8.622673736011537,50.0
dinela,8.622673736011537,50.0
alltim favorit,8.622673736011537,50.0
thirst,8.622673736011537,50.0
primari,8.622673736011537,50.0
chicken tender,8.622673736011537,50.0
top choic,8.622673736011537,50.0
left stuf,8.622673736011537,50.0
mislead,8.622673736011537,50.0
inlaw,8.622673736011537,50.0
west loop,8.622673736011537,50.0
waaay,8.622673736011537,50.0
eye roll,8.622673736011537,50.0
demolish,8.622673736011537,50.0
costilla,8.622673736011537,50.0
applaud,8.622673736011537,50.0
bit earli,8.622673736011537,50.0
memor meal,8.622673736011537,50.0
strawberri jam,8.622673736011537,50.0
contend,8.622673736011537,50.0
util,8.622673736011537,50.0
creativ dish,8.622673736011537,50.0
drama,8.622673736011537,50.0
big bowl,8.622673736011537,50.0
scan,8.622673736011537,50.0
brûlée,8.622673736011537,50.0
snap pea,8.622673736011537,50.0
teriyaki mayo,8.622673736011537,50.0
besti,8.622673736011537,50.0
outi,8.622673736011537,50.0
favorit dessert,8.622673736011537,50.0
egg potato,8.622673736011537,50.0
lifechang,8.622673736011537,50.0
marzano tomato,8.622673736011537,50.0
chees melt,8.622673736011537,50.0
NUMlb,8.622673736011537,50.0
browni cooki,8.622673736011537,50.0
tecat,8.622673736011537,50.0
super fun,8.622673736011537,50.0
unseason,8.622673736011537,50.0
chicken parm,8.622673736011537,50.0
nice sweet,8.622673736011537,50.0
herd,8.622673736011537,50.0
flap,8.622673736011537,50.0
eggi,8.622673736011537,50.0
dome,8.622673736011537,50.0
goulash,8.622673736011537,50.0
berkshir pork,8.622673736011537,50.0
meatloaf hash,8.622673736011537,50.0
perplex,8.622673736011537,50.0
