Token,IDF,DF
declin,7.651261747986373,50.0
seed bun,7.651261747986373,50.0
liter melt,7.651261747986373,50.0
style deep,7.651261747986373,50.0
observ,7.651261747986373,50.0
final seat,7.651261747986373,50.0
fun night,7.651261747986373,50.0
flawless,7.651261747986373,50.0
sloppi goat,7.651261747986373,50.0
small size,7.651261747986373,50.0
boast,7.651261747986373,50.0
lunch spot,7.651261747986373,50.0
church,7.651261747986373,50.0
condit,7.651261747986373,50.0
aftertast,7.651261747986373,50.0
al dent,7.651261747986373,50.0
peev,7.651261747986373,50.0
NUMi,7.651261747986373,50.0
beard,7.651261747986373,50.0
border,7.651261747986373,50.0
spici king,7.651261747986373,50.0
tang,7.651261747986373,50.0
singl thing,7.651261747986373,50.0
cocktail list,7.651261747986373,50.0
tuna roll,7.651261747986373,50.0
frost,7.651261747986373,50.0
pickl onion,7.651261747986373,50.0
munchi,7.651261747986373,50.0
skate,7.651261747986373,50.0
side salad,7.651261747986373,50.0
teriyaki mayo,7.651261747986373,50.0
plethora,7.651261747986373,50.0
hunt,7.651261747986373,50.0
pizza hut,7.651261747986373,50.0
univers,7.651261747986373,50.0
conveni locat,7.651261747986373,50.0
pretti bad,7.651261747986373,50.0
januari,7.651261747986373,50.0
rpm italian,7.651261747986373,50.0
belong,7.651261747986373,50.0
spicier,7.651261747986373,50.0
bean burger,7.651261747986373,50.0
meateat,7.631459120690193,51.0
barnelli,7.631459120690193,51.0
mint julep,7.631459120690193,51.0
sushisashimi,7.631459120690193,51.0
alla,7.631459120690193,51.0
aliv,7.631459120690193,51.0
abil,7.631459120690193,51.0
journey,7.631459120690193,51.0
