Token,IDF,DF
tabl,2.744802486140284,6758.0
make,2.779275682227886,6529.0
menu,2.847732627506703,6097.0
chees,2.8528300651659926,6066.0
tast,2.856794391467902,6042.0
chicago,2.893198815895139,5826.0
amaz,2.894916734201164,5816.0
thing,2.9030307191576297,5769.0
nice,2.9249364404418143,5644.0
peopl,2.9591801900089854,5454.0
pretti,2.960464476030845,5447.0
seat,2.969871536086873,5396.0
night,2.9882000835825044,5298.0
perfect,3.052310861812199,4969.0
recommend,3.0628308860025797,4917.0
drink,3.081718739641433,4825.0
flavor,3.0846245117150657,4811.0
price,3.1165140262948277,4660.0
bar,3.116943302970233,4658.0
meal,3.117802409552282,4654.0
small,3.147681417759915,4517.0
dinner,3.151452077656108,4500.0
favorit,3.1601565182862545,4461.0
bit,3.162625378254233,4450.0
worth,3.1684852102123484,4424.0
made,3.218066826738092,4210.0
enjoy,3.2413767851840953,4113.0
side,3.24429862802246,4101.0
experi,3.2464956263430023,4092.0
chicken,3.2513951951841604,4072.0
long,3.2659903831476025,4013.0
pizza,3.2742476551360356,3980.0
top,3.2838412657018536,3942.0
fresh,3.2838412657018536,3942.0
star,3.3071966195996105,3851.0
line,3.3110993174111902,3836.0
serv,3.3252765041961165,3782.0
review,3.3271290917313943,3775.0
lot,3.3480077944778874,3697.0
day,3.352073391621496,3682.0
plate,3.354248487639448,3674.0
atmospher,3.3649203634468994,3635.0
sweet,3.392250564209039,3537.0
ll,3.3936651916906686,3532.0
minut,3.409359621406658,3477.0
tasti,3.4148390871712833,3458.0
ca,3.4394304903086055,3374.0
staff,3.4698224789133385,3273.0
expect,3.4701280556918817,3272.0
visit,3.4787223381792156,3244.0
