the,402789,1
and,249831,2
i,224692,3
a,201773,4
to,161225,5
was,145273,6
it,131465,7
of,125417,8
is,92928,9
for,85208,10
in,80416,11
but,73184,12
we,72687,13
that,69686,14
with,69611,15
you,65543,16
my,58079,17
NUM,57530,18
this,54860,19
on,52711,20
nt,51770,21
s,49624,22
were,47906,23
had,47896,24
have,44546,25
not,44277,26
good,44194,27
place,43920,28
so,42819,29
they,42678,30
be,37745,31
food,37299,32
at,37105,33
are,35287,34
as,32643,35
like,30769,36
great,30191,37
order,29230,38
there,28468,39
get,27883,40
all,27060,41
just,27042,42
go,26718,43
if,25763,44
here,25622,45
time,25057,46
our,24887,47
do,24826,48
veri,24645,49
wait,23706,50
out,23089,51
one,23071,52
tri,21976,53
realli,21641,54
me,21319,55
would,20827,56
about,20186,57
fri,19772,58
which,19692,59
love,18683,60
their,18607,61
or,18443,62
some,17981,63
when,17764,64
friend,17630,65
did,17595,66
from,17585,67
up,17177,68
back,17097,69
pizza,16985,70
an,16749,71
servic,16492,72
more,16237,73
tabl,16154,74
dish,16135,75
best,16032,76
ve,15987,77
also,15985,78
sauc,15937,79
restaur,15830,80
what,15564,81
can,15555,82
too,15237,83
your,14991,84
delici,14486,85
us,14325,86
come,14314,87
got,13709,88
onli,13534,89
by,13456,90
will,13358,91
eat,13358,92
even,13334,93
m,13227,94
been,13194,95
becaus,12928,96
other,12927,97
littl,12591,98
chees,12302,99
tast,12186,100
well,12173,101
menu,12047,102
make,12028,103
could,11921,104
chicago,11628,105
no,11572,106
want,11379,107
oyster,11122,108
definit,10926,109
seat,10920,110
much,10873,111
thing,10868,112
peopl,10854,113
night,10788,114
amaz,10785,115
after,10726,116
bar,10703,117
think,10631,118
nice,10572,119
pretti,10409,120
came,10355,121
than,10294,122
drink,10154,123
went,9948,124
flavor,9873,125
say,9782,126
perfect,9662,127
first,9616,128
meal,9365,129
them,9178,130
has,8944,131
star,8784,132
know,8724,133
over,8704,134
look,8697,135
dinner,8682,136
he,8664,137
beer,8645,138
experi,8584,139
better,8564,140
chicken,8515,141
small,8480,142
alway,8436,143
re,8414,144
recommend,8392,145
pork,8360,146
two,8354,147
line,8243,148
bit,8185,149
price,8026,150
way,8024,151
everyth,8011,152
ever,7953,153
favorit,7944,154
how,7937,155
worth,7912,156
side,7906,157
plate,7774,158
enjoy,7719,159
made,7642,160
take,7625,161
though,7544,162
wine,7514,163
right,7436,164
top,7415,165
fresh,7405,166
serv,7389,167
long,7265,168
then,7242,169
while,7205,170
still,7162,171
down,7101,172
around,7051,173
again,7046,174
review,6981,175
off,6965,176
minut,6958,177
never,6883,178
befor,6861,179
who,6759,180
most,6757,181
next,6660,182
lot,6650,183
d,6571,184
burger,6565,185
day,6543,186
bbq,6540,187
sure,6539,188
hour,6470,189
give,6441,190
few,6429,191
ll,6364,192
big,6339,193
she,6241,194
meat,6218,195
am,6158,196
hot,6148,197
reserv,6058,198
sweet,6037,199
expect,5988,200
ask,5965,201
ani,5932,202
tapa,5920,203
atmospher,5898,204
server,5874,205
visit,5841,206
tasti,5804,207
sinc,5800,208
salad,5787,209
both,5742,210
mani,5693,211
new,5688,212
everi,5662,213
taco,5660,214
ca,5657,215
bread,5653,216
feel,5642,217
someth,5614,218
lunch,5611,219
end,5596,220
awesom,5594,221
staff,5554,222
enough,5514,223
need,5360,224
dessert,5353,225
differ,5339,226
rib,5338,227
last,5318,228
seem,5305,229
said,5277,230
french,5229,231
special,5190,232
excel,5148,233
now,5114,234
high,5096,235
share,5086,236
group,5061,237
start,5055,238
potato,5011,239
probabl,4991,240
sit,4962,241
into,4955,242
