f(x), ybar, y,TP,FP,TN,FN,cumTP,cumFP,cumTN,cumFN,P,R,
65.9538224967,1,1,TRUE,0,0,0,1,0,0,0,1,2.37970586835467E-05,42022
56.4500661406,1,1,TRUE,0,0,0,2,0,0,0,1,4.75941173670934E-05,
54.7357958539,1,1,TRUE,0,0,0,3,0,0,0,1,7.13911760506401E-05,
50.0164718342,1,1,TRUE,0,0,0,4,0,0,0,1,9.51882347341869E-05,
48.8115193804,1,1,TRUE,0,0,0,5,0,0,0,1,0.0001189853,
48.1268585086,1,1,TRUE,0,0,0,6,0,0,0,1,0.0001427824,
47.8913300547,1,1,TRUE,0,0,0,7,0,0,0,1,0.0001665794,
47.8913300547,1,1,TRUE,0,0,0,8,0,0,0,1,0.0001903765,
45.7826241716,1,1,TRUE,0,0,0,9,0,0,0,1,0.0002141735,
45.4762287342,1,1,TRUE,0,0,0,10,0,0,0,1,0.0002379706,
45.406635817,1,1,TRUE,0,0,0,11,0,0,0,1,0.0002617676,
45.3075760342,1,1,TRUE,0,0,0,12,0,0,0,1,0.0002855647,
45.221500961,1,1,TRUE,0,0,0,13,0,0,0,1,0.0003093618,
44.4194068438,1,1,TRUE,0,0,0,14,0,0,0,1,0.0003331588,
43.1441128777,1,1,TRUE,0,0,0,15,0,0,0,1,0.0003569559,
42.7869104099,1,1,TRUE,0,0,0,16,0,0,0,1,0.0003807529,
42.2663900308,1,1,TRUE,0,0,0,17,0,0,0,1,0.00040455,
42.0995485248,1,1,TRUE,0,0,0,18,0,0,0,1,0.0004283471,
41.8958579017,1,1,TRUE,0,0,0,19,0,0,0,1,0.0004521441,
41.7097090564,1,1,TRUE,0,0,0,20,0,0,0,1,0.0004759412,
41.7097090564,1,1,TRUE,0,0,0,21,0,0,0,1,0.0004997382,
41.6888004718,1,1,TRUE,0,0,0,22,0,0,0,1,0.0005235353,
41.0277935457,1,1,TRUE,0,0,0,23,0,0,0,1,0.0005473323,
40.7779709024,1,1,TRUE,0,0,0,24,0,0,0,1,0.0005711294,
40.1931085548,1,1,TRUE,0,0,0,25,0,0,0,1,0.0005949265,
39.3941071649,1,1,TRUE,0,0,0,26,0,0,0,1,0.0006187235,
39.2789949717,1,1,TRUE,0,0,0,27,0,0,0,1,0.0006425206,
39.1029359481,1,1,TRUE,0,0,0,28,0,0,0,1,0.0006663176,
39.0306431324,1,1,TRUE,0,0,0,29,0,0,0,1,0.0006901147,
39.0306431324,1,1,TRUE,0,0,0,30,0,0,0,1,0.0007139118,
38.8371986135,1,1,TRUE,0,0,0,31,0,0,0,1,0.0007377088,
38.7623789974,1,1,TRUE,0,0,0,32,0,0,0,1,0.0007615059,
38.416054075,1,1,TRUE,0,0,0,33,0,0,0,1,0.0007853029,
38.2565333367,1,1,TRUE,0,0,0,34,0,0,0,1,0.0008091,
38.2397363854,1,1,TRUE,0,0,0,35,0,0,0,1,0.0008328971,
37.942805053,1,1,TRUE,0,0,0,36,0,0,0,1,0.0008566941,
37.8105301349,1,1,TRUE,0,0,0,37,0,0,0,1,0.0008804912,
37.7996300864,1,1,TRUE,0,0,0,38,0,0,0,1,0.0009042882,
37.7773696493,1,1,TRUE,0,0,0,39,0,0,0,1,0.0009280853,
37.5413925753,1,1,TRUE,0,0,0,40,0,0,0,1,0.0009518823,
37.2182699075,1,1,TRUE,0,0,0,41,0,0,0,1,0.0009756794,
37.0927947065,1,1,TRUE,0,0,0,42,0,0,0,1,0.0009994765,
37.0337597445,1,1,TRUE,0,0,0,43,0,0,0,1,0.0010232735,
36.8302109508,1,1,TRUE,0,0,0,44,0,0,0,1,0.0010470706,
36.7824585836,1,1,TRUE,0,0,0,45,0,0,0,1,0.0010708676,
36.6144152122,1,1,TRUE,0,0,0,46,0,0,0,1,0.0010946647,
36.3178391239,1,1,TRUE,0,0,0,47,0,0,0,1,0.0011184618,
36.1439910029,1,1,TRUE,0,0,0,48,0,0,0,1,0.0011422588,
35.9072057938,1,1,TRUE,0,0,0,49,0,0,0,1,0.0011660559,
35.7876161613,1,1,TRUE,0,0,0,50,0,0,0,1,0.0011898529,
35.6787320163,1,1,TRUE,0,0,0,51,0,0,0,1,0.00121365,
