Fold: 0
X,CC,CD,DT,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,POS,PRP,PRP$,RB,RBR,TO,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB
CC,347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD,0.0,527.0,0.0,1.0,0.0,5.0,22.0,0.0,0.0,0.0,5.0,8.0,2.0,0.0,5.0,0.0,46.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,10.0
DT,0.0,0.0,1328.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,1.0
IN,2.0,0.0,0.0,1573.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,1.0,2.0
JJ,0.0,0.0,2.0,1.0,599.0,3.0,123.0,0.0,9.0,14.0,6.0,1.0,1.0,0.0,23.0,11.0,112.0,1.0,4.0,0.0,3.0,9.0,3.0,0.0,0.0,4.0,18.0
JJR,0.0,0.0,0.0,0.0,0.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JJS,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN,1.0,5.0,1.0,2.0,34.0,5.0,158.0,3.0,1542.0,45.0,16.0,21.0,6.0,1.0,6.0,0.0,195.0,0.0,8.0,0.0,9.0,3.0,7.0,4.0,1.0,16.0,40.0
NNP,0.0,4.0,1.0,0.0,31.0,4.0,91.0,3.0,83.0,812.0,118.0,4.0,10.0,2.0,11.0,0.0,217.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,11.0,49.0,43.0
